编号,名称,形状,中心x_m,中心y_m,西边x_m,南边y_m,东西宽_m,南北长_m,工艺净尺寸,暂定结构外缘,功能区,说明
G1,粗格栅,rect,360.0,282.0,348,278,24,8,2格,待结构深化,water,两格正常并联
P,进水井/提升泵站,rect,360.0,262.0,348,250,24,24,2×(16×10×1.2 m调节段),待结构深化,water,每线2用1备
G2,细格栅,rect,324.0,261.0,310,254,28,14,2格,待结构深化,water,两格正常并联
SA,曝气沉砂池A,rect,207.0,274.0,190,270,34,8,30×3.8×2.55 m,约30.8×4.6 m,water,含两侧操作带
SB,曝气沉砂池B,rect,257.0,274.0,240,270,34,8,30×3.8×2.55 m,约30.8×4.6 m,water,含两侧操作带
PDA,初沉配水井A,rect,100.0,259.0,95,254,10,10,课程暂定6×4 m,待结构深化,water,向C1、C2等量配水
PDB,初沉配水井B,rect,300.0,259.0,295,254,10,10,课程暂定6×4 m,待结构深化,water,向C3、C4等量配水
DWA,二沉配水井A,rect,100.0,124.0,91,118,18,12,暂按16×10 m,待结构深化,water,接B1、B2，服务T1—T4
DWB,二沉配水井B,rect,300.0,124.0,291,118,18,12,暂按16×10 m,待结构深化,water,接B3、B4，服务T5—T8
AIR,鼓风机房,rect,200.0,125.0,176,116,48,18,6台AT400级机组,待厂家确认,auxiliary,含吊装和进气预留
CHEM,碳源/除磷加药间,rect,351.0,125.0,330,116,42,18,甲醇、FeCl3设备预留,待专项深化,auxiliary,与二沉前投加接口相连
ADMIN,管理/化验预留,rect,68.0,29.0,30,18,76,22,功能合并预留,待建筑设计,management,按交通和功能分区暂定
MAINT,维修/配电预留,rect,138.0,29.0,116,18,44,22,功能合并预留,待建筑设计,auxiliary,靠近南侧主入口
NAOCL,次氯酸钠储存加药,rect,249.0,29.0,232,18,34,22,2×约50 m3工作容积,待安全专项深化,auxiliary,低温、避光、库存不超过7 d
CT,折流接触池,rect,299.0,28.5,274,17,50,23,2×(45×8×4.8 m),约45.8×18.4 m,water,8 m为单格净水宽；包络含操作带
METER,计量/控制井,rect,338.0,29.0,330,18,16,22,2条1.50 m长喉道,待设备深化,water,位于接触池之后
FUT,连续发展用地,rect,90.0,276.0,20,266,140,20,2800 m2连续用地,不适用,future,仅表明发展方向，不代表同规模扩建能力
C1,平流初沉池1,rect,50.0,226.0,18.5,216,63,20,58×14.5×3.5 m,约58.8×15.3 m,water,包络含约2 m/侧操作带
C2,平流初沉池2,rect,150.0,226.0,118.5,216,63,20,58×14.5×3.5 m,约58.8×15.3 m,water,包络含约2 m/侧操作带
C3,平流初沉池3,rect,250.0,226.0,218.5,216,63,20,58×14.5×3.5 m,约58.8×15.3 m,water,包络含约2 m/侧操作带
C4,平流初沉池4,rect,350.0,226.0,318.5,216,63,20,58×14.5×3.5 m,约58.8×15.3 m,water,包络含约2 m/侧操作带
B1,A2/O系列1,rect,50.0,163.0,12.5,138,75,50,70×45×5 m,约70.8×45.8 m,water,包络含约2 m/侧操作带
B2,A2/O系列2,rect,150.0,163.0,112.5,138,75,50,70×45×5 m,约70.8×45.8 m,water,包络含约2 m/侧操作带
B3,A2/O系列3,rect,250.0,163.0,212.5,138,75,50,70×45×5 m,约70.8×45.8 m,water,包络含约2 m/侧操作带
B4,A2/O系列4,rect,350.0,163.0,312.5,138,75,50,70×45×5 m,约70.8×45.8 m,water,包络含约2 m/侧操作带
T1,辐流二沉池1,circle,34.0,80.0,13.0,59,42,42,净D37 m，中心井D6 m,暂按D37.8 m,water,D42为含操作带方包络
T2,辐流二沉池2,circle,78.0,80.0,57.0,59,42,42,净D37 m，中心井D6 m,暂按D37.8 m,water,D42为含操作带方包络
T3,辐流二沉池3,circle,122.0,80.0,101.0,59,42,42,净D37 m，中心井D6 m,暂按D37.8 m,water,D42为含操作带方包络
T4,辐流二沉池4,circle,166.0,80.0,145.0,59,42,42,净D37 m，中心井D6 m,暂按D37.8 m,water,D42为含操作带方包络
T5,辐流二沉池5,circle,234.0,80.0,213.0,59,42,42,净D37 m，中心井D6 m,暂按D37.8 m,water,D42为含操作带方包络
T6,辐流二沉池6,circle,278.0,80.0,257.0,59,42,42,净D37 m，中心井D6 m,暂按D37.8 m,water,D42为含操作带方包络
T7,辐流二沉池7,circle,322.0,80.0,301.0,59,42,42,净D37 m，中心井D6 m,暂按D37.8 m,water,D42为含操作带方包络
T8,辐流二沉池8,circle,366.0,80.0,345.0,59,42,42,净D37 m，中心井D6 m,暂按D37.8 m,water,D42为含操作带方包络
