管段编号,管段名称,系统,规格,设计流量,折点坐标_m,管道中心线长度_m,转弯数,说明
W01,进厂至粗格栅,water,题设D1200,1.875 m3/s,"[[360, 300], [360, 286]]",14.00,0,北界进水点距东界40 m
W02,粗格栅至提升泵站,water,双渠,1.875 m3/s,"[[360, 278], [360, 274]]",4.00,0,构筑物外缘间
W03,提升泵站至细格栅,water,2×DN1000,0.9375 m3/s/线,"[[348, 262], [343, 262], [343, 261], [338, 261]]",11.00,2,不含单泵内部DN700支管12 m
W04,细格栅至两线分流点,water,双渠,1.875 m3/s,"[[310, 261], [286, 261]]",24.00,0,维持两条并行处理线
W05A,分流点至沉砂池A,water,矩形渠,0.9375 m3/s,"[[286, 261], [286, 282], [224, 282], [224, 274]]",91.00,2,A水线
W05B,分流点至沉砂池B,water,矩形渠,0.9375 m3/s,"[[286, 261], [286, 282], [274, 282], [274, 274]]",41.00,2,B水线
W06A,沉砂池A至初沉配水井A,water,DN1200,0.9375 m3/s,"[[190, 274], [180, 274], [180, 264], [100, 264]]",100.00,2,避让连续发展用地
W06B,沉砂池B至初沉配水井B,water,DN1200,0.9375 m3/s,"[[240, 274], [240, 264], [300, 264]]",70.00,1,B水线
W07AF,初沉配水井A至分配干管,water,DN1200,0.9375 m3/s,"[[100, 254], [100, 250]]",4.00,0,井后短接
W07BF,初沉配水井B至分配干管,water,DN1200,0.9375 m3/s,"[[300, 254], [300, 250]]",4.00,0,井后短接
W07C1,初沉分配至C1,water,DN900,0.46875 m3/s,"[[100, 250], [50.0, 250], [50.0, 236]]",64.00,1,井内等流设施后独立支管
W08C1,C1至B1,water,DN900,0.46875 m3/s,"[[50.0, 216], [50.0, 188]]",28.00,0,外缘间中心线
W07C2,初沉分配至C2,water,DN900,0.46875 m3/s,"[[100, 250], [150.0, 250], [150.0, 236]]",64.00,1,井内等流设施后独立支管
W08C2,C2至B2,water,DN900,0.46875 m3/s,"[[150.0, 216], [150.0, 188]]",28.00,0,外缘间中心线
W07C3,初沉分配至C3,water,DN900,0.46875 m3/s,"[[300, 250], [250.0, 250], [250.0, 236]]",64.00,1,井内等流设施后独立支管
W08C3,C3至B3,water,DN900,0.46875 m3/s,"[[250.0, 216], [250.0, 188]]",28.00,0,外缘间中心线
W07C4,初沉分配至C4,water,DN900,0.46875 m3/s,"[[300, 250], [350.0, 250], [350.0, 236]]",64.00,1,井内等流设施后独立支管
W08C4,C4至B4,water,DN900,0.46875 m3/s,"[[350.0, 216], [350.0, 188]]",28.00,0,外缘间中心线
W09B1,B1至二沉配水井,water,DN1200,0.820313 m3/s,"[[50.0, 138], [50.0, 134], [100, 134], [100, 130]]",58.00,2,外部水量加RAS；内回流不进入本管
W09B2,B2至二沉配水井,water,DN1200,0.820313 m3/s,"[[150.0, 138], [150.0, 134], [100, 134], [100, 130]]",58.00,2,外部水量加RAS；内回流不进入本管
W09B3,B3至二沉配水井,water,DN1200,0.820313 m3/s,"[[250.0, 138], [250.0, 134], [300, 134], [300, 130]]",58.00,2,外部水量加RAS；内回流不进入本管
W09B4,B4至二沉配水井,water,DN1200,0.820313 m3/s,"[[350.0, 138], [350.0, 134], [300, 134], [300, 130]]",58.00,2,外部水量加RAS；内回流不进入本管
W10T1,配水井至T1中心,water,DN900,0.410156 m3/s,"[[94, 118], [94, 104], [34.0, 104], [34.0, 80]]",98.00,2,4个等高堰后各设独立支管；用相邻平行中心线表达，平面计至中心进水竖管
