管段编号,管段名称,节点序号,节点编号,x_m,y_m,节点类型,系统
W01,进厂至粗格栅,1,W01-N01,360,300,起点,water
W01,进厂至粗格栅,2,W01-N02,360,286,终点,water
W02,粗格栅至提升泵站,1,W02-N01,360,278,起点,water
W02,粗格栅至提升泵站,2,W02-N02,360,274,终点,water
W03,提升泵站至细格栅,1,W03-N01,348,262,起点,water
W03,提升泵站至细格栅,2,W03-N02,343,262,折点,water
W03,提升泵站至细格栅,3,W03-N03,343,261,折点,water
W03,提升泵站至细格栅,4,W03-N04,338,261,终点,water
W04,细格栅至两线分流点,1,W04-N01,310,261,起点,water
W04,细格栅至两线分流点,2,W04-N02,286,261,终点,water
W05A,分流点至沉砂池A,1,W05A-N01,286,261,起点,water
W05A,分流点至沉砂池A,2,W05A-N02,286,282,折点,water
W05A,分流点至沉砂池A,3,W05A-N03,224,282,折点,water
W05A,分流点至沉砂池A,4,W05A-N04,224,274,终点,water
W05B,分流点至沉砂池B,1,W05B-N01,286,261,起点,water
W05B,分流点至沉砂池B,2,W05B-N02,286,282,折点,water
W05B,分流点至沉砂池B,3,W05B-N03,274,282,折点,water
W05B,分流点至沉砂池B,4,W05B-N04,274,274,终点,water
W06A,沉砂池A至初沉配水井A,1,W06A-N01,190,274,起点,water
W06A,沉砂池A至初沉配水井A,2,W06A-N02,180,274,折点,water
W06A,沉砂池A至初沉配水井A,3,W06A-N03,180,264,折点,water
W06A,沉砂池A至初沉配水井A,4,W06A-N04,100,264,终点,water
W06B,沉砂池B至初沉配水井B,1,W06B-N01,240,274,起点,water
W06B,沉砂池B至初沉配水井B,2,W06B-N02,240,264,折点,water
W06B,沉砂池B至初沉配水井B,3,W06B-N03,300,264,终点,water
W07AF,初沉配水井A至分配干管,1,W07AF-N01,100,254,起点,water
W07AF,初沉配水井A至分配干管,2,W07AF-N02,100,250,终点,water
W07BF,初沉配水井B至分配干管,1,W07BF-N01,300,254,起点,water
W07BF,初沉配水井B至分配干管,2,W07BF-N02,300,250,终点,water
W07C1,初沉分配至C1,1,W07C1-N01,100,250,起点,water
