stage,start,end,worst_path,required_peak_m,adopted_drop_m,reserve_m,upstream_el_m,downstream_el_m
0,细格栅前,细格栅后,T1,0.15,0.15,0.0,34.8,34.65
1,细格栅后,沉砂入口,T1,0.06331432424083398,0.1,0.03668567575916602,34.65,34.55
2,沉砂入口,沉砂主体,T1,0.2509965404610102,0.3,0.04900345953898977,34.55,34.25
3,沉砂主体,初沉配水上游,T1,0.37823573547676026,0.45,0.07176426452323975,34.25,33.8
4,初沉配水上游,初沉配水下游,T1,0.35316032315627843,0.4,0.04683967684372159,33.8,33.4
5,初沉配水下游,初沉主体,T1,0.29022294323736914,0.35,0.05977705676263084,33.4,33.05
6,初沉主体,初沉集水槽,T1,0.2,0.2,0.0,33.05,32.849999999999994
7,初沉集水槽,A2O入口,T1,0.20569198356669421,0.25,0.044308016433305786,32.849999999999994,32.599999999999994
8,A2O入口,A2O主体,T1,0.3,0.3,0.0,32.599999999999994,32.3
9,A2O主体,二沉配水上游,T1,0.2661248467241544,0.35,0.0838751532758456,32.3,31.949999999999996
10,二沉配水上游,二沉配水下游,T1,0.42556185158393556,0.45,0.024438148416064454,31.949999999999996,31.499999999999996
11,二沉配水下游,二沉主体,T1,0.2652873060759592,0.35,0.0847126939240408,31.499999999999996,31.149999999999995
12,二沉主体,二沉集水槽,T1,0.2,0.2,0.0,31.149999999999995,30.949999999999996
13,二沉集水槽,接触池入口,T1,0.6057137556324327,0.7,0.09428624436756727,30.949999999999996,30.249999999999996
14,接触池入口,接触池出口,T1,0.10256069832083935,0.15,0.04743930167916065,30.249999999999996,30.099999999999998
15,接触池出口,计量上游,T1,0.01118060530498204,0.05,0.03881939469501797,30.099999999999998,30.049999999999997
16,计量上游,计量下游,T1,0.75,0.75,0.0,30.049999999999997,29.299999999999997
17,计量下游,出厂汇合井,T5,0.2674792064540515,0.35,0.08252079354594849,29.299999999999997,28.949999999999996
18,出厂汇合井,东厂界控制井,T1,0.1434494048622972,0.2,0.0565505951377028,28.949999999999996,28.749999999999996
