path,segment,diameter_m,barrel_invert_el_m,barrel_crown_el_m,cover_m,vertical_required_m,vertical_budget_m,note
T1,W06A,1.2,24.8,26,1.3,16.25,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W07AF,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W07C1,0.9,25.1,26,1.3,14.349999999999994,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W08C1,0.9,25.1,26,1.3,13.349999999999987,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W09B1,1.2,24.8,26,1.3,12.449999999999996,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W10T1,0.9,25.1,26,1.3,10.54999999999999,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W11T1,0.7,25.3,26,1.3,4.799999999999997,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W11AH:34-78,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W11AH:78-122,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W11AH:122-166,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W11AH:166-270,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W11AC,1.2,24.8,26,1.3,4.349999999999998,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W13A,1.2,24.8,26,1.3,3.3999999999999986,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T1,W14,1.5,24.5,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W06A,1.2,24.8,26,1.3,16.25,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W07AF,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W07C1,0.9,25.1,26,1.3,14.349999999999994,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W08C1,0.9,25.1,26,1.3,13.349999999999987,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W09B1,1.2,24.8,26,1.3,12.449999999999996,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W10T2,0.9,25.1,26,1.3,10.54999999999999,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W11T2,0.7,25.3,26,1.3,4.799999999999997,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W11AH:78-122,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W11AH:122-166,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W11AH:166-270,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W11AC,1.2,24.8,26,1.3,4.349999999999998,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W13A,1.2,24.8,26,1.3,3.3999999999999986,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T2,W14,1.5,24.5,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T3,W06A,1.2,24.8,26,1.3,16.25,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T3,W07AF,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T3,W07C2,0.9,25.1,26,1.3,14.349999999999994,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
