node,water_peak_el_m,floor_el_m,wall_top_el_m,floor_below_site_m,note
细格栅前,34.8,33.65,35.3,-6.349999999999998,负埋深表示高于地面；工艺内底不含结构板厚
细格栅后,34.65,33.65,35.15,-6.349999999999998,负埋深表示高于地面；工艺内底不含结构板厚
沉砂入口,34.55,31.7,35.05,-4.399999999999999,负埋深表示高于地面；工艺内底不含结构板厚
沉砂主体,34.25,31.7,34.75,-4.399999999999999,负埋深表示高于地面；工艺内底不含结构板厚
初沉配水上游,33.8,32.3,34.3,-4.9999999999999964,负埋深表示高于地面；工艺内底不含结构板厚
初沉配水下游,33.4,31.9,33.9,-4.599999999999998,负埋深表示高于地面；工艺内底不含结构板厚
初沉主体,33.05,29.549999999999997,33.55,-2.2499999999999964,负埋深表示高于地面；工艺内底不含结构板厚
初沉集水槽,32.849999999999994,32.24999999999999,33.349999999999994,-4.949999999999992,负埋深表示高于地面；工艺内底不含结构板厚
A2O入口,32.599999999999994,27.3,33.099999999999994,0.0,负埋深表示高于地面；工艺内底不含结构板厚
A2O主体,32.3,27.3,32.8,0.0,负埋深表示高于地面；工艺内底不含结构板厚
二沉配水上游,31.949999999999996,29.949999999999996,32.449999999999996,-2.649999999999995,负埋深表示高于地面；工艺内底不含结构板厚
二沉配水下游,31.499999999999996,29.499999999999996,31.999999999999996,-2.1999999999999957,负埋深表示高于地面；工艺内底不含结构板厚
二沉主体,31.149999999999995,27.149999999999995,31.649999999999995,0.15000000000000568,负埋深表示高于地面；工艺内底不含结构板厚
二沉集水槽,30.949999999999996,30.349999999999994,31.449999999999996,-3.0499999999999936,负埋深表示高于地面；工艺内底不含结构板厚
接触池入口,30.249999999999996,25.299999999999997,30.749999999999996,2.0000000000000036,负埋深表示高于地面；工艺内底不含结构板厚
接触池出口,30.099999999999998,25.299999999999997,30.599999999999998,2.0000000000000036,负埋深表示高于地面；工艺内底不含结构板厚
计量上游,30.049999999999997,29.049999999999997,30.549999999999997,-1.7499999999999964,负埋深表示高于地面；工艺内底不含结构板厚
计量下游,29.299999999999997,28.299999999999997,29.799999999999997,-0.9999999999999964,负埋深表示高于地面；工艺内底不含结构板厚
出厂汇合井,28.949999999999996,24.5,29.449999999999996,2.8000000000000007,负埋深表示高于地面；工艺内底不含结构板厚
东厂界控制井,28.749999999999996,24.5,29.249999999999996,2.8000000000000007,负埋深表示高于地面；工艺内底不含结构板厚
