path,stage,segment,method,q_peak_m3_s,q_average_m3_s,diameter_m,width_m,depth_m,plan_length_m,vertical_allowance_m,length_for_loss_m,lambda_,manning_n,local_k,velocity_peak_m_s,velocity_average_m_s,friction_peak_m,local_peak_m,friction_average_m,local_average_m,structure_allowance_m,required_peak_m,required_average_m,note
T1,0,细格栅堵塞,allowance,0.9375,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,沿用课程堵塞水头预算；未作为清洁栅条实测值
T1,1,W04,Manning,0.9375,0.625,0,1.5,1.0,24.0,0,24.0,0,0.013,0.5,0.625,0.4166666666666667,0.004903359038480658,0.009954765545361875,0.0021792706837691815,0.004424340242383056,0,0.014858124583842534,0.006603610926152238,每线独立1.5 m渠，峰值计算水深1.0 m
T1,1,W05A,Manning,0.9375,0.625,0,1.5,1.0,91.0,0,91.0,0,0.013,1.5,0.625,0.4166666666666667,0.01859190302090583,0.029864296636085627,0.00826306800929148,0.013273020727149167,0,0.04845619965699145,0.021536088736440646,每线独立1.5 m渠，峰值计算水深1.0 m
T1,2,沉砂池内,Manning,0.9375,0.625,0,3.8,2.55,30,0,30,0,0.013,2,0.09674922600619196,0.06449948400412797,4.2369947982954696e-05,0.0009541705130272385,1.8831087992424317e-05,0.00042407578356766154,0.25,0.2509965404610102,0.25044290687156007,0.25 m池内整流/曝气扰动及出口预算，管口另计
T1,3,W06A,Darcy,0.9375,0.625,1.2,0,0,100.0,20,120.0,0.025,0,8.3,0.8289319952702882,0.5526213301801921,0.0875545683973982,0.29068116707936204,0.03891314150995474,0.12919162981304977,0,0.37823573547676026,0.1681047713230045,
T1,4,初沉自由配水堰,allowance,0.46875,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35316032315627843,0.35316032315627843,0.35316032315627843,每支2.0 m堰；h+0.10 m自由跌水，不称纯摩擦损失
T1,5,W07AF,Darcy,0.9375,0.625,1.2,0,0,4.0,0,4.0,0.025,0,0.1,0.8289319952702882,0.5526213301801921,0.002918485613246607,0.003502182735895928,0.0012971047169984917,0.00155652566039819,0,0.006420668349142535,0.002853630377396682,
T1,5,W07C1,Darcy,0.46875,0.3125,0.9,0,0,64.0,20,84.0,0.025,0,7.2,0.7368284402402562,0.49121896016017075,0.06456699035725827,0.19923528453096837,0.02869644015878145,0.08854901534709704,0.02,0.2838022748882266,0.1372454555058785,
T1,6,初沉集水系统,allowance,0.46875,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,指形槽12×14 m，堰及槽内落差预算0.20 m；详见报告校核
T1,7,W08C1,Darcy,0.46875,0.3125,0.9,0,0,28.0,20,48.0,0.025,0,6.1000000000000005,0.7368284402402562,0.49121896016017075,0.03689542306129044,0.16879656050540376,0.016397965805017973,0.07502069355795722,0,0.20569198356669421,0.09141865936297519,
T1,8,A2O池内,allowance,1.9921875,1.328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,保留池内分区/进出流0.30 m课程预算；不可将全部内回流计入二沉外管
T1,9,W09B1,Darcy,0.8203125,0.546875,1.2,0,0,58.0,20,78.0,0.025,0,8.3,0.7253154958615022,0.4835436639076681,0.04357207817901772,0.22255276854513664,0.019365368079563423,0.09891234157561625,0,0.2661248467241544,0.11827770965517967,
T1,10,二沉自由配水堰,allowance,0.41015625,0.2734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42556185158393556,0.42556185158393556,0.42556185158393556,每井4支；1.2 m等高堰，自由跌水至少0.10 m
T1,11,W10T1,Darcy,0.41015625,0.2734375,0.9,0,0,98.0,20,118.0,0.025,0,8.3,0.6447248852102241,0.4298165901401494,0.06944314327486367,0.1758441628010955,0.030863619233272747,0.07815296124493133,0.02,0.2652873060759592,0.12901658047820408,附加20 m包络含中心竖管和进池高差；中心配水另留0.02 m
T1,12,二沉堰槽,allowance,0.234375,0.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,
T1,13,W11T1,Darcy,0.234375,0.15625,0.7,0,0,3.0,10,13.0,0.025,0,6.1000000000000005,0.6090112618312322,0.40600750788748813,0.008776815424283723,0.11531385188212769,0.00390080685523721,0.05125060083650119,0,0.12409066730641141,0.055151407691738395,至埋地汇流管；10 m竖段额度，含4个转弯保守预算
T1,13,W11AH:34-78,Darcy,0.234375,0.15625,1.2,0,0,44,0,44,0.025,0,1.5,0.20723299881757204,0.13815533254504803,0.002006458859107042,0.003283296314902432,0.000891759492936463,0.001459242806623303,0,0.005289755174009474,0.002351002299559766,按上游已汇入池数计流量；节点局部ζ=1.5课程包络
T1,13,W11AH:78-122,Darcy,0.46875,0.3125,1.2,0,0,44,0,44,0.025,0,1.5,0.4144659976351441,0.27631066509009605,0.008025835436428168,0.013133185259609728,0.003567037971745852,0.005836971226493212,0,0.021159020696037895,0.009404009198239064,按上游已汇入池数计流量；节点局部ζ=1.5课程包络
T1,13,W11AH:122-166,Darcy,0.703125,0.46875,1.2,0,0,44,0,44,0.025,0,1.5,0.6216989964527162,0.4144659976351441,0.01805812973196338,0.029549666834121892,0.008025835436428168,0.013133185259609728,0,0.04760779656608527,0.021159020696037895,按上游已汇入池数计流量；节点局部ζ=1.5课程包络
T1,13,W11AH:166-270,Darcy,0.9375,0.625,1.2,0,0,104,0,104,0.025,0,1.5,0.8289319952702882,0.5526213301801921,0.07588062594441178,0.05253274103843891,0.03372472264196078,0.023347884905972848,0,0.1284133669828507,0.057072607547933626,按上游已汇入池数计流量；节点局部ζ=1.5课程包络
T1,13,W11AC,Darcy,0.9375,0.625,1.2,0,0,27.0,10,37.0,0.025,0,7.2,0.8289319952702882,0.5526213301801921,0.02699599192253111,0.2521571569845068,0.011998218632236048,0.11206984754866968,0,0.2791531489070379,0.12406806618090573,接触池上升段，10 m竖段预算；出口速度头已计
T1,14,接触池四廊道,Manning,0.9375,0.625,0,2,4.8,180,0,180,0,0.013,4.5,0.09765625,0.06510416666666667,0.00037337190706354396,0.0021873264137758025,0.0001659430698060195,0.0009721450727892457,0.1,0.10256069832083935,0.10113808814259527,三处折返；0.10 m进出池整流预算
T1,15,W12A,Manning,0.9375,0.625,0,1.5,1,6.0,0,6.0,0,0.013,0.5,0.625,0.4166666666666667,0.0012258397596201646,0.009954765545361875,0.0005448176709422954,0.004424340242383056,0,0.01118060530498204,0.004969157913325351,
T1,16,长喉道自由跌水计量,allowance,0.9375,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,水面落差预算；含临界控制、槽内损失和尾端消能，不把1.5yc当不可逆损失
T1,17,W13A,Darcy,0.9375,0.625,1.2,0,0,10.0,10,20.0,0.025,0,7.2,0.8289319952702882,0.5526213301801921,0.014592428066233032,0.2521571569845068,0.006485523584992458,0.11206984754866968,0,0.2667495850507398,0.11855537113366214,本组定为DN1200连接管；计量后跌水井接埋管
T1,18,W14,Darcy,1.875,1.25,1.5,0,0,48.0,0,48.0,0.025,0,1.7,1.0610329539459689,0.7073553026306459,0.045903809555935114,0.0975455953063621,0.020401693135971163,0.04335359791393872,0,0.1434494048622972,0.06375529104990987,地下满流管到东界控制井；厂外排口另列条件算例
T2,0,细格栅堵塞,allowance,0.9375,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,沿用课程堵塞水头预算；未作为清洁栅条实测值
