图号,章节图题,Word媒体位,原图SHA256,新图SHA256,可编辑源,导出PNG,像素
图3-1,水线工艺流程及回流排泥接口,word/media/image1.png,53f80cc93b19464fa148f57f8a749bf2bac6a2888505007b90e8d4e0e640b03d,f1f5b63041b43f0133edfcaea4e719b3551f1c9a56cb309b0a7e136bce2c2e50,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/可编辑SVG/图3-1_水线工艺流程及回流排泥接口.svg,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/导出PNG/图3-1_水线工艺流程及回流排泥接口.png,1600×800
图5-1,两格进水井与六泵位计算图,word/media/image2.png,7273be64427aba2d1d9b56a96a01ad928264257d2c9c86b3dc18240805a83fb9,fa140d97b0006324594595ec1e73d0be4af0a084177e5619e72b7c9893695ab8,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/可编辑SVG/图5-1_两格进水井与六泵位计算图.svg,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/导出PNG/图5-1_两格进水井与六泵位计算图.png,1600×800
图6-1,曝气沉砂池计算图,word/media/image3.png,9eed43c40fa0825fee68f847e0f4ec4fe5a68daed596cc669a11ce7b9c566033,5883a90039f26ca6c1e19c7ff4c9f13ed1072947eceeeb4c0fe15089ace44e45,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/可编辑SVG/图6-1_曝气沉砂池计算图.svg,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/导出PNG/图6-1_曝气沉砂池计算图.png,1600×800
图7-1,平流式初次沉淀池平剖计算图,word/media/image4.png,02cd6082069bc594f8e1b1df4fd66bf3d161c8cd245d5e29003948612f398471,b624bac643161420edb476afaaa95847ec32e0d55d5b36ce1e26edc07ac67c69,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/可编辑SVG/图7-1_平流式初次沉淀池平剖计算图.svg,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/导出PNG/图7-1_平流式初次沉淀池平剖计算图.png,1600×800
图8-1,A²O单系列分区与回流泵接口图,word/media/image5.png,1a2edfd65ac6c4ab6641c568f01ee38d098cb09980f5a29ef221ca6e6a0edff8,092a917364e4a6dcaeead01060f7ff33184e4ee5e98dc1f53493103992d6bc14,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/可编辑SVG/图8-1_A2O单系列分区与回流泵接口图.svg,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/导出PNG/图8-1_A2O单系列分区与回流泵接口图.png,1600×800
图9-1,投药与固体闭合边界图,word/media/image6.png,9f3b8e2818b1a16ef07bdaba759de6079126e6bfad1501b7c906efb0b165640c,f7e72a962fd9b11f3f88417a4cfe99b1284a6d5fb7b219590079fb543dba7f97,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/可编辑SVG/图9-1_投药与固体闭合边界图.svg,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/导出PNG/图9-1_投药与固体闭合边界图.png,1600×800
图10-1,曝气与鼓风系统计算图,word/media/image7.png,9e1a8a0ae5785bfff03725de6c46557cee99debfb9af503999e92c3265018806,2c7b1fdf64f70e9d76b5945ee9f5107d3e2efe393c47c3571f902be597b41986,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/可编辑SVG/图10-1_曝气与鼓风系统计算图.svg,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/导出PNG/图10-1_曝气与鼓风系统计算图.png,1600×800
图11-1,二次沉淀池平剖计算图,word/media/image8.png,19b0da4460122a6c8b3845548444528087daf98cbece8ba23a0fddbe39d6129d,71f878aa9b0f51c24a9f0ec4d3e5663742321f77031f08c147984231b17bd155,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/可编辑SVG/图11-1_二次沉淀池平剖计算图.svg,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/导出PNG/图11-1_二次沉淀池平剖计算图.png,1600×800
图12-1,主要连接管渠与配水接口图,word/media/image9.png,2facdf05e0ab37134b52b93c0ad73d12977b7e229184a2216b8c2d381ac8315d,2eb2d3022ffa4a8f886eefeacd45531ce907108bad2490998d8a661e30e02e07,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/可编辑SVG/图12-1_主要连接管渠与配水接口图.svg,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/导出PNG/图12-1_主要连接管渠与配水接口图.png,1600×800
图13-1,厂区总平面与管线图,word/media/image10.png,fe98c9ceb24af563e1c42b44c17c018a20f70c77c25fda30775a9b0c94b4fe43,068f3850815af3a73c57395567407b18a28aca0f50827b0b025970d2ff975b64,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/可编辑SVG/图13-1_厂区总平面与管线图.svg,第二次修改协作项目_2026-09-13/02_成果回收/第09组_位图整图重绘/导出PNG/图13-1_厂区总平面与管线图.png,1600×800
