编号,名称,西边x_m,南边y_m,东西宽_m,南北长_m,类别,依据状态
G1,粗格栅,348,284,24,8,water,槽群及操作带预留
P,提升泵站,348,258,24,20,water,含16×10集水池及检修预留
G2,细格栅,304,260,24,12,water,槽群及操作带预留
SA,沉砂A,212,266,32,7,water,30×3.3净尺寸外包预留
SB,沉砂B,260,266,32,7,water,30×3.3净尺寸外包预留
DIS,消毒计量,350,65,22,30,reserve,完善项占地预留，非定型池容
CHEM,加药区,350,110,22,20,reserve,补碳补碱及除磷药剂预留
AIR,鼓风机房,180,110,40,18,reserve,6台设备布置/吊装待厂家复核
ADMIN,管理及生活预留,290,30,75,20,reserve,仅预留用地，不设计建筑
SL,污泥转运接口,35,210,25,35,reserve,非完整污泥处理线
MAINT,维修配电预留,35,110,20,20,reserve,功能及安全间距另核
FUT,连续发展用地,40,260,120,25,future,不代表可扩建同等处理规模
C1,初沉1,65,210,30,30,water,D28外包D30，用方形包络计地
B1,A²/O 1,55.5,135,49,58,water,净45×54旋转后外包49×58
T1,二沉预留1,57,57,46,46,reserve,暂按净D44外包D46，未完成第10项
C2,初沉2,145,210,30,30,water,D28外包D30，用方形包络计地
B2,A²/O 2,135.5,135,49,58,water,净45×54旋转后外包49×58
T2,二沉预留2,137,57,46,46,reserve,暂按净D44外包D46，未完成第10项
C3,初沉3,225,210,30,30,water,D28外包D30，用方形包络计地
B3,A²/O 3,215.5,135,49,58,water,净45×54旋转后外包49×58
T3,二沉预留3,217,57,46,46,reserve,暂按净D44外包D46，未完成第10项
C4,初沉4,305,210,30,30,water,D28外包D30，用方形包络计地
B4,A²/O 4,295.5,135,49,58,water,净45×54旋转后外包49×58
T4,二沉预留4,297,57,46,46,reserve,暂按净D44外包D46，未完成第10项
