管段,类型,折点坐标_m,平面长度_m,说明
进厂至粗栅,water,"[[360, 300], [360, 292]]",8.0,厂界到单元包络接口
粗栅至泵站,water,"[[360, 284], [360, 278]]",6.0,单元间净平面长度
泵站至细栅,water,"[[348, 268], [348, 266], [328, 266]]",22.0,不含单泵4+7+1 m内部支管
细栅至分流点,water,"[[304, 266], [300, 266], [300, 280]]",18.0,概念分流节点
分流至沉砂A,water,"[[300, 280], [244, 280], [244, 269.5]]",66.5,A线
分流至沉砂B,water,"[[300, 280], [292, 280], [292, 269.5]]",18.5,B线
沉砂A至初沉分配,water,"[[212, 269.5], [212, 250], [120, 250]]",111.5,沿北侧道路地下敷设
沉砂B至初沉分配,water,"[[260, 269.5], [260, 250], [280, 250]]",39.5,沿北侧道路地下敷设
初沉分配至C1,water,"[[120, 250], [80, 250], [80, 242]]",48.0,至D34占地包络，不含池内中心管
C1至B1,water,"[[80, 208], [80, 193]]",15.0,单体外缘间净长
B1至二沉配水,water,"[[80, 135], [80, 125], [120, 125], [120, 116]]",59.0,两座生物池汇入本线配水井
初沉分配至C2,water,"[[120, 250], [160, 250], [160, 242]]",48.0,至D34占地包络，不含池内中心管
C2至B2,water,"[[160, 208], [160, 193]]",15.0,单体外缘间净长
B2至二沉配水,water,"[[160, 135], [160, 125], [120, 125], [120, 116]]",59.0,两座生物池汇入本线配水井
初沉分配至C3,water,"[[280, 250], [240, 250], [240, 242]]",48.0,至D34占地包络，不含池内中心管
C3至B3,water,"[[240, 208], [240, 193]]",15.0,单体外缘间净长
B3至二沉配水,water,"[[240, 135], [240, 125], [280, 125], [280, 116]]",59.0,两座生物池汇入本线配水井
初沉分配至C4,water,"[[280, 250], [320, 250], [320, 242]]",48.0,至D34占地包络，不含池内中心管
C4至B4,water,"[[320, 208], [320, 193]]",15.0,单体外缘间净长
B4至二沉配水,water,"[[320, 135], [320, 125], [280, 125], [280, 116]]",59.0,两座生物池汇入本线配水井
二沉配水至T1,water,"[[120, 106], [120, 102], [45, 102], [45, 95]]",86.0,至D40包络；中心进水竖管另计20 m
T1至消毒,water,"[[45, 55], [45, 50], [350, 50], [350, 55]]",315.0,含本线共用出水走廊；单路径不可相加作工程量
RAS1,ras,"[[45, 95], [45, 102], [120, 102], [120, 125], [80, 125], [80, 135]]",155.0,按中心至包络20 m另计；路径用于最不利支干管复核
二沉配水至T2,water,"[[120, 106], [120, 102], [105, 102], [105, 95]]",26.0,至D40包络；中心进水竖管另计20 m
T2至消毒,water,"[[105, 55], [105, 50], [350, 50], [350, 55]]",255.0,含本线共用出水走廊；单路径不可相加作工程量
RAS2,ras,"[[105, 95], [105, 102], [120, 102], [120, 125], [80, 125], [80, 135]]",95.0,按中心至包络20 m另计；路径用于最不利支干管复核
二沉配水至T3,water,"[[120, 106], [120, 102], [165, 102], [165, 95]]",56.0,至D40包络；中心进水竖管另计20 m
T3至消毒,water,"[[165, 55], [165, 50], [350, 50], [350, 55]]",195.0,含本线共用出水走廊；单路径不可相加作工程量
RAS3,ras,"[[165, 95], [165, 102], [120, 102], [120, 125], [160, 125], [160, 135]]",125.0,按中心至包络20 m另计；路径用于最不利支干管复核
二沉配水至T4,water,"[[280, 106], [280, 102], [235, 102], [235, 95]]",56.0,至D40包络；中心进水竖管另计20 m
T4至消毒,water,"[[235, 55], [235, 50], [350, 50], [350, 55]]",125.0,含本线共用出水走廊；单路径不可相加作工程量
RAS4,ras,"[[235, 95], [235, 102], [280, 102], [280, 125], [240, 125], [240, 135]]",125.0,按中心至包络20 m另计；路径用于最不利支干管复核
二沉配水至T5,water,"[[280, 106], [280, 102], [295, 102], [295, 95]]",26.0,至D40包络；中心进水竖管另计20 m
T5至消毒,water,"[[295, 55], [295, 50], [350, 50], [350, 55]]",65.0,含本线共用出水走廊；单路径不可相加作工程量
RAS5,ras,"[[295, 95], [295, 102], [280, 102], [280, 125], [320, 125], [320, 135]]",95.0,按中心至包络20 m另计；路径用于最不利支干管复核
二沉配水至T6,water,"[[280, 106], [280, 102], [355, 102], [355, 95]]",86.0,至D40包络；中心进水竖管另计20 m
T6至消毒,water,"[[355, 55], [355, 50], [350, 50], [350, 55]]",15.0,含本线共用出水走廊；单路径不可相加作工程量
RAS6,ras,"[[355, 95], [355, 102], [280, 102], [280, 125], [320, 125], [320, 135]]",155.0,按中心至包络20 m另计；路径用于最不利支干管复核
AIR至B1,air,"[[200, 128], [200, 130], [80, 130], [80, 135]]",127.0,共用空气干线；不含池内支管
AIR至B2,air,"[[200, 128], [200, 130], [160, 130], [160, 135]]",47.0,共用空气干线；不含池内支管
AIR至B3,air,"[[200, 128], [200, 130], [240, 130], [240, 135]]",47.0,共用空气干线；不含池内支管
AIR至B4,air,"[[200, 128], [200, 130], [320, 130], [320, 135]]",127.0,共用空气干线；不含池内支管
消毒至出厂,water,"[[372, 40], [400, 40]]",28.0,只到东厂界，厂外实测长度待定
